Picture Name,Hue Degree,Value (Accumulated saturation for each degree of hue),TEMP1 range,TEMP2 range,TEMP name
,273,0.000157218,,,
,274,0.00182373,,,
,275,0.000157218,,,
,276,0.0029557,,,
,277,0.000565984,,,
,278,3.14E-05,,,
,279,0,,,
,280,0.0265069,,,
,281,0,,,
,282,0.00292425,,,
,283,0.000188661,,,
,284,0,,,
,285,0.00616294,,,
,286,0.000157218,,,
,287,0,,,
,288,0.00408766,,,
,289,6.29E-05,,,
,290,0.00921297,,,
,291,0.00169795,,,
,292,0.000754646,,,
,293,0.000220105,,,
,294,0,,,
,295,0,,,
,296,0,,,
,297,0,,,
,298,0,,,
,299,0,,,
,300,0.0847404,,,
,301,0,,,
,302,0,,,
,303,0,,,
,304,0,,,
,305,3.14E-05,,,
,306,0.00141496,,,
,307,0.000534541,,,
,308,0.00106908,,,
,309,0,,,
,310,0.00676037,,,
,311,0,,,
,312,0.0239914,,,
,313,0.00044021,,,
,314,0,,,
,315,0.0104393,,,
,316,0.00119486,,,
,317,0.00339591,,,
,318,0.00116341,,,
,319,0,,,
,320,0.0304059,,,
,321,0.000848976,,,
,322,0.00377323,,,
,323,6.29E-05,,,
,324,0.0139609,,,
,325,0.00654026,,,
,326,0.00933874,,,
,327,0.00327013,,,
,328,9.43E-05,,,
,329,0.000188661,,,
,330,0.101814,,,
,331,0.000157218,,,
,332,0.00424488,,,
,333,0.0108795,,,
,334,0.0098104,,,
,335,0.00204383,,,
,336,0.0283935,,,
,337,0.0110367,,,
,338,0.0109738,,,
,339,0.000157218,,,
,340,0.110744,,,
,341,0.00213816,,,
,342,0.0303116,,,
,343,0.00632016,,,
,344,0.00163507,,,
,345,0.090809,,,
,346,0.03289,,,
,347,0.00399333,,,
,348,0.0574474,,,
,349,0.0127346,,,
,350,0.0545546,,,
,351,0.0300601,,,
,352,0.0424803,,,
,353,0.115807,,,
,354,0.0902116,,,
,355,0.0354369,,,
,356,0.0390844,,,
,357,0.0166337,,,
,358,0.00694903,,,
,359,9.43E-05,,,
